name,lat,lon,i,j
Ilulissat,69.21695623841661,-51.09817568014237,298,728
Sisimiut_1,67.10178739102973,-53.352604946916266,237,809
Sisimiut_2,66.93743770672043,-53.61801495788615,230,814
